Town,Ceremonial county,Status,Link
Grange-over-Sands,Cumbria,town council1,/wiki/Grange-over-Sands
Grantham,Lincolnshire,charter trustees,/wiki/Grantham
Grassington,North Yorkshire,market charter,/wiki/Grassington
Gravesend,Kent,borough (1835–1974),"/wiki/Gravesend,_Kent"
Grays,Essex,market charter,/wiki/Grays
Great Dunmow,Essex,town council,/wiki/Great_Dunmow
Great Torrington,Devon,town council1,/wiki/Great_Torrington
Great Yarmouth,Norfolk,borough (1835–1974),/wiki/Great_Yarmouth
Greater Willington,Durham,town council,/wiki/Greater_Willington
Grimsby,Lincolnshire,charter trustees,/wiki/Grimsby
Guildford,Surrey,borough (1835–1974),/wiki/Guildford
Guisborough,North Yorkshire,town council1,/wiki/Guisborough
Hadleigh,Suffolk,town council1,"/wiki/Hadleigh,_Suffolk"
Hailsham,East Sussex,town council,/wiki/Hailsham
Halesowen,West Midlands,borough (1936–1974),/wiki/Halesowen
Halesworth,Suffolk,town council1,/wiki/Halesworth
Halewood,Merseyside,town council,/wiki/Halewood
Halifax,West Yorkshire,borough (1848–1974),"/wiki/Halifax,_West_Yorkshire"
Halstead,Essex,town council1,/wiki/Halstead
Haltwhistle,Northumberland,town council,/wiki/Haltwhistle
Redenhall with Harleston,Norfolk,town council,/wiki/Redenhall_with_Harleston
Harlow,Essex,market charter,/wiki/Harlow
Harpenden,Hertfordshire,town council1,/wiki/Harpenden
Harrogate,North Yorkshire,borough (1884–1974),/wiki/Harrogate
Harrow,Greater London,borough (1954–1965),"/wiki/Harrow,_London"
Hartland,Devon,market charter,"/wiki/Hartland,_Devon"
Hartlepool,Durham,borough (1850–1974),/wiki/Hartlepool
Harwich,Essex,town council1,/wiki/Harwich
Harworth and Bircotes,Nottinghamshire,town council,/wiki/Harworth_and_Bircotes
Haslemere,Surrey,town council1,/wiki/Haslemere
Haslingden,Lancashire,borough (1891–1974),/wiki/Haslingden
Hastings,East Sussex,borough (1835–1974),/wiki/Hastings
Hatfield,Hertfordshire,town council,"/wiki/Hatfield,_Hertfordshire"
Hatfield,South Yorkshire,town council,"/wiki/Hatfield,_South_Yorkshire"
Hatherleigh,Devon,town council,/wiki/Hatherleigh
Havant,Hampshire,market charter,/wiki/Havant
Haverhill,Suffolk,town council,"/wiki/Haverhill,_Suffolk"
Hawkinge,Kent,town council,/wiki/Hawkinge
Haxby,North Yorkshire,town council,/wiki/Haxby
Hawes,North Yorkshire,market charter,/wiki/Hawes
Hayes,Greater London,urban district (1904-1965),"/wiki/Hayes,_Hillingdon"
Hayle,Cornwall,town council,/wiki/Hayle
Haywards Heath,West Sussex,town council,/wiki/Haywards_Heath
Heanor and Loscoe,Derbyshire,town council,/wiki/Heanor_and_Loscoe
Heathfield,East Sussex,market charter,"/wiki/Heathfield,_East_Sussex"
Hebden Royd,West Yorkshire,town council1,/wiki/Hebden_Royd
Hedge End,Hampshire,town council,/wiki/Hedge_End
Hednesford,Staffordshire,town council,/wiki/Hednesford
Hedon,East Riding of Yorkshire,town council1,/wiki/Hedon
Helmsley,North Yorkshire,town council,/wiki/Helmsley
